Time[s] TxPosX[m] TxPosY[m] RxPosX[m] RxPosY[m] ChannelState SNR[dB] Pathloss[dB]
0 0 0 -20 0 LOS 45.0571 66.3794
0.01 0 0 -20 0 LOS -22.3027 66.3794
0.02 0 0 -20 0 LOS -89.5153 66.3794
0.03 0 0 -20 0 LOS -154.438 66.3794
0.04 0 0 -20 0 LOS -221.372 66.3794
0.05 0 0 -20 0 LOS -287.927 66.3794
0.06 0 0 -20 0 LOS -353.906 66.3794
0.07 0 0 -20 0 LOS -421.048 66.3795
0.08 0 0 -20 0 LOS -486.769 66.3795
0.09 0 0 -20 0 LOS -552.645 66.3795
0.1 0 0 -20 0 LOS -620.197 66.3795
0.11 0 0 -20 0 LOS -686.501 66.3795
0.12 0 0 -20 0 LOS -751.683 66.3796
0.13 0 0 -20 0 LOS -818.48 66.3796
0.14 0 0 -20 0 LOS -886.229 66.3796
0.15 0 0 -20 0 LOS -951.274 66.3796
0.16 0 0 -20 0 LOS -1017.29 66.3797
0.17 0 0 -20 0 LOS -1084.98 66.3797
0.18 0 0 -20 0 LOS -1150.62 66.3798
0.19 0 0 -20 0 LOS -1216.96 66.3798
0.2 0 0 -20 0 LOS -1283.77 66.3798
0.21 0 0 -20 0 LOS -1349.3 66.3799
0.22 0 0 -20 0 LOS -1416.47 66.3799
0.23 0 0 -20 0 LOS -1483.23 66.38
0.24 0 0 -20 0 LOS -1548.25 66.38
0.25 0 0 -20 0 LOS -1615.08 66.3801
0.26 0 0 -20 0 LOS -1682.63 66.3801
0.27 0 0 -20 0 LOS -1748.02 66.3802
0.28 0 0 -20 0 LOS -1813.63 66.3803
0.29 0 0 -20 0 LOS -1881.37 66.3803
0.3 0 0 -20 0 LOS -1947.78 66.3804
0.31 0 0 -20 0 LOS -2013.03 66.3804
0.32 0 0 -20 0 LOS -2080.15 66.3805
0.33 0 0 -20 0 LOS -2146.52 66.3806
0.34 0 0 -20 0 LOS -2212.54 66.3807
0.35 0 0 -20 0 LOS -2279.82 66.3807
0.36 0 0 -20 0 LOS -2345.07 66.3808
0.37 0 0 -20 0 LOS -2411.46 66.3809
0.38 0 0 -20 0 LOS -2479.22 66.381
0.39 0 0 -20 0 LOS -2544.68 66.3811
0.4 0 0 -20 0 LOS -2610.2 66.3811
0.41 0 0 -20 0 LOS -2677.7 66.3812
0.42 0 0 -20 0 LOS -2744.54 66.3813
0.43 0 0 -20 0 LOS -2809.72 66.3814
0.44 0 0 -20 0 LOS -2876.18 66.3815
0.45 0 0 -20 0 LOS -2943.65 66.3816
0.46 0 0 -20 0 LOS -3009.09 66.3817
0.47 0 0 -20 0 LOS -inf 66.3818
0.48 0 0 -20 0 LOS -inf 66.3819
0.49 0 0 -20 0 LOS -inf 66.382
0.5 0 0 -20 0 LOS -inf 66.3821
0.51 0 0 -20 0 LOS -inf 66.3822
0.52 0 0 -20 0 LOS -inf 66.3823
0.53 0 0 -20 0 LOS -inf 66.3824
0.54 0 0 -20 0 LOS -inf 66.3826
0.55 0 0 -20 0 LOS -inf 66.3827
0.56 0 0 -20 0 LOS -inf 66.3828
0.57 0 0 -20 0 LOS -inf 66.3829
0.58 0 0 -20 0 LOS -inf 66.3831
0.59 0 0 -20 0 LOS -inf 66.3832
0.6 0 0 -20 0 LOS -inf 66.3833
0.61 0 0 -20 0 LOS -inf 66.3834
0.62 0 0 -20 0 LOS -inf 66.3836
0.63 0 0 -20 0 LOS -inf 66.3837
0.64 0 0 -20 0 LOS -inf 66.3838
0.65 0 0 -20 0 LOS -inf 66.384
0.66 0 0 -20 0 LOS -inf 66.3841
0.67 0 0 -20 0 LOS -inf 66.3843
0.68 0 0 -20 0 LOS -inf 66.3844
0.69 0 0 -20 0 LOS -inf 66.3846
0.7 0 0 -20 0 LOS -inf 66.3847
0.71 0 0 -20 0 LOS -inf 66.3849
0.72 0 0 -20 0 LOS -inf 66.385
0.73 0 0 -20 0 LOS -inf 66.3852
0.74 0 0 -20 0 LOS -inf 66.3853
0.75 0 0 -20 0 LOS -inf 66.3855
0.76 0 0 -20 0 LOS -inf 66.3857
0.77 0 0 -20 0 LOS -inf 66.3858
0.78 0 0 -20 0 LOS -inf 66.386
0.79 0 0 -20 0 LOS -inf 66.3862
0.8 0 0 -20 0 LOS -inf 66.3863
0.81 0 0 -20 0 LOS -inf 66.3865
0.82 0 0 -20 0 LOS -inf 66.3867
0.83 0 0 -20 0 LOS -inf 66.3869
0.84 0 0 -20 0 LOS -inf 66.3871
0.85 0 0 -20 0 LOS -inf 66.3872
0.86 0 0 -20 0 LOS -inf 66.3874
0.87 0 0 -20 0 LOS -inf 66.3876
0.88 0 0 -20 0 LOS -inf 66.3878
0.89 0 0 -20 0 LOS -inf 66.388
0.9 0 0 -20 0 LOS -inf 66.3882
0.91 0 0 -20 0 LOS -inf 66.3884
0.92 0 0 -20 0 LOS -inf 66.3886
0.93 0 0 -20 0 LOS -inf 66.3888
0.94 0 0 -20 0 LOS -inf 66.389
0.95 0 0 -20 0 LOS -inf 66.3892
0.96 0 0 -20 0 LOS -inf 66.3894
0.97 0 0 -20 0 LOS -inf 66.3896
0.98 0 0 -20 0 LOS -inf 66.3898
0.99 0 0 -20 0 LOS -inf 66.39
1 0 0 -20 0 LOS -inf 66.3902
1.01 0 0 -20 0 LOS -inf 66.3905
1.02 0 0 -20 0 LOS -inf 66.3907
1.03 0 0 -20 0 LOS -inf 66.3909
1.04 0 0 -20 0 LOS -inf 66.3911
1.05 0 0 -20 0 LOS -inf 66.3914
