theta_rad,phi_rad,gain_db
-1.0472,-3.14159,0
-0.984366,-3.14159,0
-0.921534,-3.14159,0
-0.858702,-3.14159,0
-0.79587,-3.14159,0
-0.733038,-3.14159,0
-0.670206,-3.14159,0
-0.607375,-3.14159,0
-0.544543,-3.14159,0
-0.481711,-3.14159,0
-0.418879,-3.14159,0
-0.356047,-3.14159,0
-0.293215,-3.14159,0
-0.230383,-3.14159,0
-0.167552,-3.14159,0
-0.10472,-3.14159,0
-0.0418879,-3.14159,0
0.020944,-3.14159,-20
0.0837758,-3.14159,-20
0.146608,-3.14159,-20
0.20944,-3.14159,-20
0.272271,-3.14159,-20
0.335103,-3.14159,-20
0.397935,-3.14159,-20
0.460767,-3.14159,-20
0.523599,-3.14159,-20
0.586431,-3.14159,-20
0.649262,-3.14159,-20
0.712094,-3.14159,-20
0.774926,-3.14159,-20
0.837758,-3.14159,-20
0.90059,-3.14159,-20
0.963422,-3.14159,-20
1.02625,-3.14159,-20
-1.0472,-3.07876,-0.0432
-0.984366,-3.07876,-0.0432
-0.921534,-3.07876,-0.0432
-0.858702,-3.07876,-0.0432
-0.79587,-3.07876,-0.0432
-0.733038,-3.07876,-0.0432
-0.670206,-3.07876,-0.0432
-0.607375,-3.07876,-0.0432
-0.544543,-3.07876,-0.0432
-0.481711,-3.07876,-0.0432
-0.418879,-3.07876,-0.0432
-0.356047,-3.07876,-0.0432
-0.293215,-3.07876,-0.0432
-0.230383,-3.07876,-0.0432
-0.167552,-3.07876,-0.0432
-0.10472,-3.07876,-0.0432
-0.0418879,-3.07876,-0.0432
0.020944,-3.07876,-20
0.0837758,-3.07876,-20
0.146608,-3.07876,-20
0.20944,-3.07876,-20
0.272271,-3.07876,-20
0.335103,-3.07876,-20
0.397935,-3.07876,-20
0.460767,-3.07876,-20
0.523599,-3.07876,-20
0.586431,-3.07876,-20
0.649262,-3.07876,-20
0.712094,-3.07876,-20
0.774926,-3.07876,-20
0.837758,-3.07876,-20
0.90059,-3.07876,-20
0.963422,-3.07876,-20
1.02625,-3.07876,-20
-1.0472,-3.01593,-0.1728
-0.984366,-3.01593,-0.1728
-0.921534,-3.01593,-0.1728
-0.858702,-3.01593,-0.1728
-0.79587,-3.01593,-0.1728
-0.733038,-3.01593,-0.1728
-0.670206,-3.01593,-0.1728
-0.607375,-3.01593,-0.1728
-0.544543,-3.01593,-0.1728
-0.481711,-3.01593,-0.1728
-0.418879,-3.01593,-0.1728
-0.356047,-3.01593,-0.1728
-0.293215,-3.01593,-0.1728
-0.230383,-3.01593,-0.1728
-0.167552,-3.01593,-0.1728
-0.10472,-3.01593,-0.1728
-0.0418879,-3.01593,-0.1728
0.020944,-3.01593,-20
0.0837758,-3.01593,-20
0.146608,-3.01593,-20
0.20944,-3.01593,-20
0.272271,-3.01593,-20
0.335103,-3.01593,-20
0.397935,-3.01593,-20
0.460767,-3.01593,-20
0.523599,-3.01593,-20
0.586431,-3.01593,-20
0.649262,-3.01593,-20
0.712094,-3.01593,-20
0.774926,-3.01593,-20
0.837758,-3.01593,-20
0.90059,-3.01593,-20
0.963422,-3.01593,-20
1.02625,-3.01593,-20
-1.0472,-2.9531,-0.3888
-0.984366,-2.9531,-0.3888
-0.921534,-2.9531,-0.3888
-0.858702,-2.9531,-0.3888
-0.79587,-2.9531,-0.3888
-0.733038,-2.9531,-0.3888
-0.670206,-2.9531,-0.3888
-0.607375,-2.9531,-0.3888
-0.544543,-2.9531,-0.3888
-0.481711,-2.9531,-0.3888
-0.418879,-2.9531,-0.3888
-0.356047,-2.9531,-0.3888
-0.293215,-2.9531,-0.3888
-0.230383,-2.9531,-0.3888
-0.167552,-2.9531,-0.3888
-0.10472,-2.9531,-0.3888
-0.0418879,-2.9531,-0.3888
0.020944,-2.9531,-20
0.0837758,-2.9531,-20
0.146608,-2.9531,-20
0.20944,-2.9531,-20
0.272271,-2.9531,-20
0.335103,-2.9531,-20
0.397935,-2.9531,-20
0.460767,-2.9531,-20
0.523599,-2.9531,-20
0.586431,-2.9531,-20
0.649262,-2.9531,-20
0.712094,-2.9531,-20
0.774926,-2.9531,-20
0.837758,-2.9531,-20
0.90059,-2.9531,-20
0.963422,-2.9531,-20
1.02625,-2.9531,-20
-1.0472,-2.89027,-0.6912
-0.984366,-2.89027,-0.6912
-0.921534,-2.89027,-0.6912
-0.858702,-2.89027,-0.6912
-0.79587,-2.89027,-0.6912
-0.733038,-2.89027,-0.6912
-0.670206,-2.89027,-0.6912
-0.607375,-2.89027,-0.6912
-0.544543,-2.89027,-0.6912
-0.481711,-2.89027,-0.6912
-0.418879,-2.89027,-0.6912
-0.356047,-2.89027,-0.6912
-0.293215,-2.89027,-0.6912
-0.230383,-2.89027,-0.6912
-0.167552,-2.89027,-0.6912
-0.10472,-2.89027,-0.6912
-0.0418879,-2.89027,-0.6912
0.020944,-2.89027,-20
0.0837758,-2.89027,-20
0.146608,-2.89027,-20
0.20944,-2.89027,-20
0.272271,-2.89027,-20
0.335103,-2.89027,-20
0.397935,-2.89027,-20
0.460767,-2.89027,-20
0.523599,-2.89027,-20
0.586431,-2.89027,-20
0.649262,-2.89027,-20
0.712094,-2.89027,-20
0.774926,-2.89027,-20
0.837758,-2.89027,-20
0.90059,-2.89027,-20
0.963422,-2.89027,-20
1.02625,-2.89027,-20
-1.0472,-2.82743,-1.08
-0.984366,-2.82743,-1.08
-0.921534,-2.82743,-1.08
-0.858702,-2.82743,-1.08
-0.79587,-2.82743,-1.08
