theta_rad,phi_rad,gain_db,h_bw,v_bw,slav,mAtt,AEG
-3.14159,-3.14159,-22,65,65,30,30,8
-3.07876,-3.14159,-22,65,65,30,30,8
-3.01593,-3.14159,-22,65,65,30,30,8
-2.9531,-3.14159,-22,65,65,30,30,8
-2.89027,-3.14159,-22,65,65,30,30,8
-2.82743,-3.14159,-22,65,65,30,30,8
-2.7646,-3.14159,-22,65,65,30,30,8
-2.70177,-3.14159,-22,65,65,30,30,8
-2.63894,-3.14159,-22,65,65,30,30,8
-2.57611,-3.14159,-22,65,65,30,30,8
-2.51327,-3.14159,-22,65,65,30,30,8
-2.45044,-3.14159,-22,65,65,30,30,8
-2.38761,-3.14159,-22,65,65,30,30,8
-2.32478,-3.14159,-22,65,65,30,30,8
-2.26195,-3.14159,-22,65,65,30,30,8
-2.19911,-3.14159,-22,65,65,30,30,8
-2.13628,-3.14159,-22,65,65,30,30,8
-2.07345,-3.14159,-22,65,65,30,30,8
-2.01062,-3.14159,-22,65,65,30,30,8
-1.94779,-3.14159,-22,65,65,30,30,8
-1.88496,-3.14159,-22,65,65,30,30,8
-1.82212,-3.14159,-22,65,65,30,30,8
-1.75929,-3.14159,-22,65,65,30,30,8
-1.69646,-3.14159,-22,65,65,30,30,8
-1.63363,-3.14159,-22,65,65,30,30,8
-1.5708,-3.14159,-22,65,65,30,30,8
-1.50796,-3.14159,-22,65,65,30,30,8
-1.44513,-3.14159,-22,65,65,30,30,8
-1.3823,-3.14159,-22,65,65,30,30,8
-1.31947,-3.14159,-22,65,65,30,30,8
-1.25664,-3.14159,-22,65,65,30,30,8
-1.19381,-3.14159,-22,65,65,30,30,8
-1.13097,-3.14159,-22,65,65,30,30,8
-1.06814,-3.14159,-22,65,65,30,30,8
-1.00531,-3.14159,-22,65,65,30,30,8
-0.942478,-3.14159,-22,65,65,30,30,8
-0.879646,-3.14159,-22,65,65,30,30,8
-0.816814,-3.14159,-22,65,65,30,30,8
-0.753982,-3.14159,-22,65,65,30,30,8
-0.69115,-3.14159,-22,65,65,30,30,8
-0.628319,-3.14159,-22,65,65,30,30,8
-0.565487,-3.14159,-22,65,65,30,30,8
-0.502655,-3.14159,-22,65,65,30,30,8
-0.439823,-3.14159,-22,65,65,30,30,8
-0.376991,-3.14159,-22,65,65,30,30,8
-0.314159,-3.14159,-22,65,65,30,30,8
-0.251327,-3.14159,-22,65,65,30,30,8
-0.188496,-3.14159,-22,65,65,30,30,8
-0.125664,-3.14159,-22,65,65,30,30,8
-0.0628319,-3.14159,-22,65,65,30,30,8
2.77556e-15,-3.14159,-22,65,65,30,30,8
0.0628319,-3.14159,-22,65,65,30,30,8
0.125664,-3.14159,-22,65,65,30,30,8
0.188496,-3.14159,-22,65,65,30,30,8
0.251327,-3.14159,-22,65,65,30,30,8
0.314159,-3.14159,-22,65,65,30,30,8
